,0
b0002,P00561
b0003,P00547
b0004,P00934
b0007,P30143
b0008,P0A870
b0009,P0AF03
b0010,P0AC98
b0019,P13738
b0025,P0AG40
b0029,P62623
b0030,P22564
b0031,P04036
b0032,P0A6F1
b0033,P00968
b0036,P31551
b0037,P31552
b0038,P31572
b0040,P31553
b0046,P0A754
b0047,P03819
b0048,P0ABQ4
b0049,P05637
b0052,P19624
b0054,P31554
b0061,P08203
b0062,P08202
b0063,P08204
b0066,P31548
b0067,P31549
b0068,P31550
b0070,P31675
b0071,P30126
b0072,P0A6A6
b0073,P30125
b0074,P09151
b0077,P00893
b0078,P00894
b0084,P0AD68
b0085,P22188
b0086,P11880
b0087,P0A6W3
b0088,P14900
b0089,P0ABG4
b0090,P17443
b0091,P17952
b0092,P07862
b0096,P0A725
b0099,P08337
b0103,P0A6I9
b0104,P60560
b0109,P30011
b0110,P13016
b0112,P15993
b0114,P0AFG8
b0116,P0A9P0
b0118,P36683
b0120,P0A7F6
b0121,P09158
b0123,P36649
b0124,P15877
b0125,P0A9M2
b0126,P61517
b0131,P0A790
b0133,P31663
b0134,P31057
b0142,P26281
b0149,P02919
b0150,P06971
b0151,P07821
b0152,P07822
b0153,P06972
b0154,P23893
b0155,P37019
b0158,P37028
b0159,P0AF12
b0160,P15723
b0166,P0A9D8
b0171,P0A7E9
b0173,P45568
b0174,P60472
b0175,P0ABG1
b0179,P21645
b0180,P0A6Q6
b0181,P0A722
b0182,P10441
b0185,P0ABD5
b0186,P52095
b0197,P28635
b0198,P31547
b0199,P30750
b0200,P63228
b0207,P30863
b0211,P0AEZ7
b0212,P0AC84
b0221,Q47146
b0222,P63224
b0237,P15288
b0238,P0A9M5
b0239,P04335
b0241,P02932
b0242,P0A7B5
b0243,P07004
b0260,Q47689
b0261,Q47690
b0268,P75682
b0269,P77596
b0273,P06960
b0306,P77252
b0307,P77536
b0308,P77433
b0311,P17444
b0312,P17445
b0314,P0ABC9
b0315,P21514
b0325,P75691
b0331,P77541
b0333,P31660
b0334,P77243
b0335,P77495
b0336,P0AA82
b0337,P25524
b0339,P0ABE9
b0340,P00816
b0341,P17583
b0343,P02920
b0344,P00722
b0347,P77397
b0348,P0ABR9
b0349,P77044
b0350,P77608
b0351,P77580
b0352,P51020
b0353,P77589
b0355,P51025
b0356,P25437
b0365,Q47537
b0366,Q47538
b0367,Q47539
b0368,P37610
b0369,P0ACB2
b0376,P0AD70
b0381,P0A6J8
b0383,P00634
b0386,P0A9L8
b0388,P0A6E1
b0394,P23917
b0401,P0AD99
b0402,P0AAE2
b0403,P21517
b0404,P21515
b0411,P0A927
b0414,P25539
b0415,P61714
b0417,P0AGG0
b0418,P18200
b0420,P77488
b0421,P22939
b0423,P77718
b0425,P0A9J4
b0428,P0AEA5
b0429,P0ABJ6
b0430,P0ABJ3
b0431,P0ABI8
b0432,P0ABJ1
b0433,P0AE16
b0444,P77756
b0446,P46891
b0451,P69681
b0452,P0AGG2
b0459,P77791
b0462,P31224
b0463,P0AE06
b0465,P77338
b0469,P69503
b0474,P69441
b0475,P23871
b0477,P0AEW6
b0480,P07024
b0484,Q59385
b0485,P77454
b0493,P0AFP4
b0494,P0ADA1
b0505,P77731
b0507,P0AEP7
b0508,P30147
b0509,P77161
b0511,P75712
b0512,P77671
b0514,P77364
b0515,P75713
b0516,P77425
b0517,P77555
b0521,P37306
b0522,P09029
b0523,P0AG18
b0524,P43341
b0529,P24186
b0543,P23895
b0572,P77211
b0573,P77214
b0574,P77239
b0575,P38054
b0576,P24207
b0577,P0AAT4
b0578,P38489
b0583,P19925
b0584,P05825
b0585,P13039
b0586,P11454
b0588,P23878
b0589,P23877
b0590,P23876
b0591,P24077
b0592,P0AEL6
b0593,P0AEJ2
b0594,P10378
b0595,P0ADI4
b0596,P15047
b0597,P0A8Y8
b0604,P77202
b0605,P0AE08
b0606,P35340
b0612,P0AE74
b0613,P77231
b0614,P0A6G5
b0615,P75726
b0616,P0A9I1
b0617,P69330
b0621,P0ABP3
b0622,P37001
