,time_complete
0A,0.8740103244781494
0B,0.46128058433532715
0C,1.4650001525878906
1A,7.557197332382202
1B,16.308527946472168
1C,6.831702947616577
1D,6.393404245376587
1E,0.7979958057403564
2A,1.0186893939971924
2B,51.61024236679077
2C,4.390336275100708
2D,26.672897815704346
3A,1.0894691944122314
3B,1.2339599132537842
3C,7.376896619796753
3D,9.722774505615234
4A,1.6339962482452393
4B,67.97004556655884
4C,0.6672968864440918
5A,12.229645013809204
5B,62.86056327819824
5C,53.61109161376953
5D1,49.391469955444336
5D2,125.6448564529419
5D3,62.958271503448486
5E,25.17257070541382
5F,2.2846951484680176
6A,20.108152389526367
6B,73.0697615146637
6C,1.335052490234375
6D,249.19632148742676
6E,32.004392862319946
6F,39.10729432106018
7A,353.84251952171326
7B,19.199543476104736
7C,8.020612955093384
7D,0.6039423942565918
8A,29.695399284362793
