UniProt AC,Entry Name,TM Helix,Length,Native,TM-score,hyperlink
P46478,AAEX_ECOLI,36.0,67.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10000
P33997,ALPA_ECOLI,0.0,70.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10004
Q47377,ARNE_ECOLI,50.0,111.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10007
P37309,ARSR_ECOLI,0.0,117.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10010
P0AE56,BFD_ECOLI,0.0,64.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10016
P0ABE2,BOLA_ECOLI,0.0,105.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10019
P0ABM5,CCMD_ECOLI,21.0,69.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10027
P69791,PTQA_ECOLI,0.0,116.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10030
P33647,CHPB_ECOLI,0.0,116.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10033
P69824,PTMA_ECOLI,0.0,147.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10037
P75975,CROE_ECOLI,0.0,66.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10041
P36995,CSPB_ECOLI,0.0,71.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10046
P0A972,CSPE_ECOLI,0.0,69.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10049
P0A982,CSPH_ECOLI,0.0,70.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10052
P0A9G4,CUER_ECOLI,0.0,135.0,1q05B,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10055
P27838,CYAY_ECOLI,0.0,106.0,1ew4A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10058
P06966,DICA_ECOLI,0.0,135.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10061
Q47150,DINJ_ECOLI,0.0,86.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10065
P0A6M4,DTD_ECOLI,0.0,145.0,1jkeA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10068
P23895,EMRE_ECOLI,73.0,110.0,3b61A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10073
P0ACZ2,ETP_ECOLI,0.0,148.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10078
P63746,EUTS_ECOLI,1.0,111.0,3i96B,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10081
P0A9R4,FER_ECOLI,0.0,111.0,1i7hA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10084
P0A6R3,FIS_ECOLI,0.0,98.0,3iv5B,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10087
P0ABW9,FLGB_ECOLI,0.0,138.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10090
P43533,FLGN_ECOLI,0.0,138.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10093
P15070,FLIN_ECOLI,0.0,137.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10098
P0ABY2,FLIT_ECOLI,0.0,121.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10102
P0A8Q0,FRDC_ECOLI,59.0,131.0,1kf6C,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10106
P0ADF0,LPFS_ECOLI,0.0,28.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10109
P32676,PTFB3_ECOLI,1.0,113.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10112
P0A9A9,FUR_ECOLI,0.0,148.0,2fu4A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10117
P0A6T9,GCSH_ECOLI,0.0,129.0,3a7lA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10120
P0A9Z1,GLNB_ECOLI,0.0,112.0,1pilA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10124
P0A6V5,GLPE_ECOLI,0.0,108.0,1gn0A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10127
P68688,GLRX1_ECOLI,0.0,85.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10132
P45760,GSPI_ECOLI,18.0,125.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10135
P0AET2,HDEB_ECOLI,11.0,108.0,2xuvB,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10139
P76106,HICA_ECOLI,0.0,58.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10142
P64578,HIGB_ECOLI,0.0,104.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10145
P76341,HIUH_ECOLI,8.0,137.0,2iglA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10148
P45751,HOFO_ECOLI,16.0,146.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10151
P77494,HOKB_ECOLI,18.0,49.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10154
P28905,HOLC_ECOLI,0.0,147.0,1em8A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10158
P52644,HSLJ_ECOLI,5.0,140.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10161
P0ACF0,DBHA_ECOLI,0.0,90.0,1mulA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10164
P0A703,HYBF_ECOLI,0.0,113.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10167
P0AAM3,HYPC_ECOLI,0.0,90.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10172
P0A6X7,IHFA_ECOLI,0.0,99.0,1ihfA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10175
P0ADG1,ILVM_ECOLI,0.0,87.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10178
P0CF07,INSA1_ECOLI,0.0,91.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10181
P0CF10,INSA4_ECOLI,0.0,91.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10184
P19767,INSA7_ECOLI,0.0,91.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10187
P0CF42,INSC3_ECOLI,0.0,121.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10190
P0CF45,INSC6_ECOLI,0.0,121.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10193
P0CF67,INSE2_ECOLI,0.0,99.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10196
P0CF70,INSE5_ECOLI,0.0,99.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10199
P75679,INSN1_ECOLI,0.0,134.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10202
P76323,INTG_ECOLI,0.0,92.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10205
P0AAC8,ISCA_ECOLI,0.0,107.0,1r94A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10209
Q6BF86,LDRA_ECOLI,17.0,35.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10214
P0AD79,LPL_ECOLI,0.0,28.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10217
P0ACH5,MARA_ECOLI,0.0,127.0,1bl0A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10220
P0AE70,MAZF_ECOLI,0.0,111.0,1ub4A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10225
P69212,MDTJ_ECOLI,73.0,121.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10228
P0A734,MINE_ECOLI,0.0,88.0,3r9jC,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10231
P28224,MLIC_ECOLI,8.0,109.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10234
Q46864,MQSA_ECOLI,0.0,131.0,3gn5A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10239
P0A746,MSRB_ECOLI,0.0,137.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10242
P0A9I5,NAPD_ECOLI,0.0,87.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10247
P0A6Z6,NIKR_ECOLI,0.0,133.0,3od2A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10250
P0A772,NRDI_ECOLI,0.0,136.0,3n3aC,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10254
P0AF63,NSRR_ECOLI,0.0,141.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10257
P52006,NUDI_ECOLI,0.0,141.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10260
P0A780,NUSB_ECOLI,0.0,139.0,3d3bA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10263
P0ADB1,OSME_ECOLI,9.0,112.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10267
P0A790,PAND_ECOLI,1.0,126.0,1pqfA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10270
P16691,PHNO_ECOLI,0.0,144.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10275
P37590,PMRD_ECOLI,0.0,88.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10279
P31992,PPTA_ECOLI,0.0,77.0,1gyjA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10283
P0AA04,PTHP_ECOLI,0.0,85.0,1pohA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10292
P65870,QUED_ECOLI,0.0,121.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10295
P33229,RALR_ECOLI,0.0,64.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10299
P04982,RBSD_ECOLI,0.0,139.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10302
P69411,RCSF_ECOLI,6.0,134.0,2y1bA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10305
P75718,REND_ECOLI,0.0,100.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10309
P0A944,RIMI_ECOLI,0.0,148.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10312
P0AFW4,RNK_ECOLI,0.0,136.0,3bmbA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10315
P37351,RPIB_ECOLI,1.0,149.0,1nn4D,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10318
P0A7K2,RL7_ECOLI,0.0,121.0,1ctfA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10321
P02413,RL15_ECOLI,0.0,144.0,1vs6L,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10324
P0C018,RL18_ECOLI,0.0,117.0,1vs6O,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10327
P0AG48,RL21_ECOLI,0.0,103.0,1vs6R,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10330
P60624,RL24_ECOLI,0.0,104.0,1vs6U,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10333
P0A7M2,RL28_ECOLI,0.0,78.0,1vt2X,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10336
P0A7M9,RL31_ECOLI,0.0,70.0,1vs6Z,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10339
P0A7N9,RL33_ECOLI,0.0,55.0,1vs61,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10342
P0A7Q6,RL36_ECOLI,0.0,38.0,1vs64,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10345
P02358,RS6_ECOLI,0.0,135.0,1vs5F,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10348
P0A7R5,RS10_ECOLI,0.0,103.0,1vs5J,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10351
P0A7S9,RS13_ECOLI,0.0,118.0,1vs5M,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10354
P0A7T3,RS16_ECOLI,0.0,82.0,1vs5P,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10357
P0A7U3,RS19_ECOLI,0.0,92.0,1vs7S,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10360
P0AF90,RRAB_ECOLI,0.0,138.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10363
P58041,RZOD_ECOLI,2.0,60.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10366
P69054,DHSC_ECOLI,69.0,129.0,1nekC,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10371
P0AG99,SECG_ECOLI,35.0,110.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10374
P58035,SGCB_ECOLI,0.0,92.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10378
P0A8R4,SLYX_ECOLI,0.0,72.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10382
