Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Names	Component-Of	Locations
3'ETS-<i>leuZ</i>	b4759	1991748	1991814	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>	3'ETS-leuZ // b4759 // ECK4616		
aaaD	b4634	581354	581662	DLP12 prophage; protein AaaD	aaaD // ylcF // b4634 // ECK4439		cytosol
aaaE	b4693	1204401	1205537	phage terminase	aaaE // b4693 // ECK1135		cytosol
aaeA	b3241	3388194	3389126	aromatic carboxylic acid efflux pump membrane fusion protein	aaeA // yhcQ // b3241 // ECK3230	aromatic carboxylic acid efflux pump	inner membrane
aaeB	b3240	3386221	3388188	aromatic carboxylic acid efflux pump subunit AaeB	aaeB // yhcP // b3240 // ECK3229	aromatic carboxylic acid efflux pump	inner membrane
aaeR	b3243	3389520	3390449	DNA-binding transcriptional activator AaeR	aaeR // yhcS // qseA // b3243 // ECK3232		cytosol
aaeX	b3242	3389134	3389337	DUF1656 domain-containing protein AaeX	aaeX // yhcR // b3242 // ECK3231		inner membrane
aas	b2836	2973855	2976014	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase	aas // b2836 // ECK2832		inner membrane
aat	b0885	926728	927432	leucyl/phenylalanyl-tRNA&mdash;protein transferase	aat // ycaA // b0885 // ECK0876		cytosol
abgA	b1338	1403255	1404565	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A	abgA // ydaJ // b1338 // ECK1334	<i>p</i>-aminobenzoyl-glutamate hydrolase	cytosol
abgB	b1337	1401810	1403255	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B	abgB // ydaI // b1337 // ECK1333	<i>p</i>-aminobenzoyl-glutamate hydrolase	cytosol
abgR	b1339	1404741	1405649	putative LysR-type DNA-binding transcriptional regulator AbgR	abgR // b1339 // ECK1335		cytosol
abgT	b1336	1400247	1401773	<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter	abgT // ydaH // b1336 // ECK1332		inner membrane
abpA	b2628	2763537	2765153	CP4-57 prophage; anti-bacteriophage protein	abpA // yfjL // b2628 // ECK2624		cytosol
abpB	b2627	2761351	2763540	CP4-57 prophage; putative helicase YfjK	abpB // yfjK // b2627 // ECK2623		cytosol
abrB	b0715	746723	747769	putative regulator	abrB // ybgN // b0715 // ECK0704		inner membrane
accA	b0185	208621	209580	acetyl-CoA carboxyltransferase subunit &alpha;	accA // b0185 // ECK0184	acetyl-CoA carboxyltransferase subunit alpha // acetyl-CoA carboxyltransferase subunit beta	cytosol
accB	b3255	3405436	3405906	biotin carboxyl carrier protein	accB // fabE // b3255 // ECK3242		cytosol
accC	b3256	3405917	3407266	biotin carboxylase	accC // fabG // b3256 // ECK3243	biotin carboxylase	cytosol
accD	b2316	2433012	2433926	acetyl-CoA carboxyltransferase subunit &beta;	accD // dedB // usg // b2316 // ECK2310	acetyl-CoA carboxyltransferase subunit alpha // acetyl-CoA carboxyltransferase subunit beta	cytosol
aceA	b4015	4217109	4218413	isocitrate lyase	aceA // icl // b4015 // ECK4007	isocitrate lyase	cytosol
aceB	b4014	4215478	4217079	malate synthase A	aceB // mas // b4014 // ECK4006		cytosol
