,alphafold1_model_score,alphafold1_ipTM,alphafold1_pTM,plddt,pdb_file,score_file,dfparent_index,sequence_length,QCQA_verdict,PDB,SWISS,Comments
CPLX0-2621,0.4400000057220459,0.4300000071525574,0.48,55.949799999999996,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2621.result/CPLX0-2621_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2621.result/CPLX0-2621_unrelaxed_rank_1_model_3_scores.json,CPLX0-2621,100.0,Good,,,
CPLX0-3301,0.2559999980926514,0.1899999976158142,0.52,79.67925675675674,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3301.result/CPLX0-3301_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3301.result/CPLX0-3301_unrelaxed_rank_1_model_3_scores.json,CPLX0-3301,148.0,Poor,,,
CPLX0-841,0.589999979019165,0.5899999737739563,0.59,67.18719512195122,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-841.result/CPLX0-841_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-841.result/CPLX0-841_unrelaxed_rank_1_model_4_scores.json,CPLX0-841,164.0,Good,,,
CPLX0-7929,0.771999984741211,0.7699999809265137,0.78,86.21927710843374,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7929.result/CPLX0-7929_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7929.result/CPLX0-7929_unrelaxed_rank_1_model_4_scores.json,CPLX0-7929,166.0,Good,,,
CPLX0-7757,0.8100000019073487,0.8100000023841858,0.81,88.67744318181818,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7757.result/CPLX0-7757_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7757.result/CPLX0-7757_unrelaxed_rank_1_model_4_scores.json,CPLX0-7757,176.0,Auto,,,
CPLX0-7623,0.6559999961853028,0.6299999952316284,0.76,86.99267045454545,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7623.result/CPLX0-7623_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7623.result/CPLX0-7623_unrelaxed_rank_1_model_3_scores.json,CPLX0-7623,176.0,Good,,,
CPLX0-2021,0.8720000000000001,0.87,0.88,97.05344444444447,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2021.result/CPLX0-2021_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2021.result/CPLX0-2021_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-2021,180.0,Auto,,,
PC00027,0.8900000000000001,0.89,0.89,95.75269430051816,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PC00027.result/PC00027_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PC00027.result/PC00027_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,PC00027,193.0,Auto,,,
CPLX0-7561,0.7559999923706056,0.7599999904632568,0.74,85.48608040201006,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7561.result/CPLX0-7561_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7561.result/CPLX0-7561_unrelaxed_rank_1_model_3_scores.json,CPLX0-7561,199.0,Good,,,
CPLX0-242,0.1580000002384186,0.07000000029802322,0.51,90.04995370370371,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-242.result/CPLX0-242_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-242.result/CPLX0-242_unrelaxed_rank_1_model_3_scores.json,CPLX0-242,216.0,Poor,,,
CPLX0-7816,0.7520000000000001,0.75,0.76,83.34628440366973,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7816.result/CPLX0-7816_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7816.result/CPLX0-7816_unrelaxed_rank_1_model_3_scores.json,CPLX0-7816,218.0,Good,,,
CPLX0-801,0.7119999828338623,0.7099999785423279,0.72,76.00772727272727,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-801.result/CPLX0-801_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-801.result/CPLX0-801_unrelaxed_rank_1_model_3_scores.json,CPLX0-801,220.0,Good,,,
CPLX0-7942,0.8199999942779542,0.8199999928474426,0.82,88.41036363636363,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7942.result/CPLX0-7942_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7942.result/CPLX0-7942_unrelaxed_rank_1_model_3_scores.json,CPLX0-7942,220.0,Auto,,,
SdhAE-CPLX,0.1740000011920929,0.10000000149011612,0.47,76.6670403587444,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SdhAE-CPLX.result/SdhAE-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SdhAE-CPLX.result/SdhAE-CPLX_unrelaxed_rank_1_model_3_scores.json,SdhAE-CPLX,223.0,Poor,,,
CPLX0-7617,0.7639999923706056,0.7599999904632568,0.78,80.7832456140351,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7617.result/CPLX0-7617_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7617.result/CPLX0-7617_unrelaxed_rank_1_model_4_scores.json,CPLX0-7617,228.0,Good,,,
YDGEF-CPLX,0.7059999904632569,0.699999988079071,0.73,75.94182608695654,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/YDGEF-CPLX.result/YDGEF-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/YDGEF-CPLX.result/YDGEF-CPLX_unrelaxed_rank_1_model_3_scores.json,YDGEF-CPLX,230.0,Good,,,
CPLX0-7734,0.8600000114440919,0.8600000143051147,0.86,91.83688034188035,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7734.result/CPLX0-7734_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7734.result/CPLX0-7734_unrelaxed_rank_1_model_3_scores.json,CPLX0-7734,234.0,Auto,,,
CPLX0-8279,0.6140000114440918,0.6100000143051147,0.63,65.96102564102564,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-8279.result/CPLX0-8279_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-8279.result/CPLX0-8279_unrelaxed_rank_1_model_3_scores.json,CPLX0-8279,234.0,Good,,,
CPLX0-7720,0.7940000171661378,0.7900000214576721,0.81,84.66991631799164,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7720.result/CPLX0-7720_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7720.result/CPLX0-7720_unrelaxed_rank_1_model_3_scores.json,CPLX0-7720,239.0,Good,,,
CPLX0-7879,0.8660000000000001,0.86,0.89,92.14719008264464,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7879.result/CPLX0-7879_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7879.result/CPLX0-7879_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-7879,242.0,Auto,,,
