,pdb_id,release_date,resolution,structure_type
0,6MX1,2018-11-07T00:00:00Z,1.671,experimental
1,1VB3,2005-06-21T00:00:00Z,2.2,experimental
2,5CAJ,2016-02-24T00:00:00Z,1.65,experimental
3,3CWN,2008-08-05T00:00:00Z,1.4,experimental
4,4S2B,2016-01-20T00:00:00Z,1.46,experimental
5,4RZ5,2015-10-07T00:00:00Z,1.8,experimental
6,4RZ6,2015-10-07T00:00:00Z,1.802,experimental
7,3KOF,2010-02-23T00:00:00Z,1.9,experimental
8,1UCW,1997-07-07T00:00:00Z,2.2,experimental
9,4S2C,2016-01-20T00:00:00Z,2.2,experimental
10,1ONR,1997-03-12T00:00:00Z,1.87,experimental
11,1I2N,2001-05-09T00:00:00Z,2.05,experimental
12,1I2O,2001-05-09T00:00:00Z,2.05,experimental
13,1I2P,2001-05-09T00:00:00Z,2.05,experimental
14,1I2Q,2001-05-09T00:00:00Z,2.05,experimental
15,1I2R,2001-05-09T00:00:00Z,2.1,experimental
16,1DI6,2000-01-19T00:00:00Z,1.45,experimental
17,1DI7,2000-01-19T00:00:00Z,1.6,experimental
18,5ZUG,2018-11-21T00:00:00Z,2.802,experimental
19,7KRW,2021-09-15T00:00:00Z,7.7,experimental
20,7KO2,2021-09-15T00:00:00Z,2.64,experimental
21,7KZI,2021-05-12T00:00:00Z,2.82,experimental
22,4JNE,2013-05-29T00:00:00Z,1.96,experimental
23,4JN4,2013-05-29T00:00:00Z,2.3,experimental
24,4B9Q,2012-11-14T00:00:00Z,2.4,experimental
25,5NRO,2018-01-17T00:00:00Z,3.25,experimental
26,2KHO,2009-05-12T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
27,7KRT,2021-09-15T00:00:00Z,2.79,experimental
28,7KRU,2021-09-15T00:00:00Z,1.82,experimental
29,7KRV,2021-09-15T00:00:00Z,1.92,experimental
30,7KZU,2021-05-12T00:00:00Z,2.15,experimental
31,1DKG,1997-08-20T00:00:00Z,2.8,experimental
32,4F01,2013-04-17T00:00:00Z,1.4,experimental
33,4HY9,2013-04-17T00:00:00Z,1.55,experimental
34,4EZP,2013-04-17T00:00:00Z,1.65,experimental
35,4EZX,2013-04-17T00:00:00Z,1.7,experimental
36,4HYB,2013-04-17T00:00:00Z,1.7,experimental
37,4R5K,2014-09-10T00:00:00Z,1.7469,experimental
38,4EZN,2013-04-17T00:00:00Z,1.8,experimental
39,4EZW,2013-04-17T00:00:00Z,1.8,experimental
40,4JWC,2013-11-13T00:00:00Z,1.8,experimental
41,7N6M,2021-06-23T00:00:00Z,1.82,experimental
42,4EZY,2013-04-17T00:00:00Z,1.85,experimental
43,4E81,2012-05-30T00:00:00Z,1.9,experimental
44,4EZO,2013-04-17T00:00:00Z,1.9,experimental
45,4EZR,2013-04-17T00:00:00Z,1.9,experimental
46,4EZS,2013-04-24T00:00:00Z,1.9,experimental
47,4EZU,2013-04-24T00:00:00Z,1.9,experimental
