,stype,gene_stoichiometry,pdb_quality,identical_structures,AA_length,total_quality,percent_true,quality_rank,percent_true_rank
P02930_147_208_3j98_&_NOBFS_0,SWISS,{'b3035': 1},"{'b3035': {'M': [False, 12.6]}}",['P02930_147_208_3j98_&_NOBFS_0'],493.0,12.6,0.0,1.0,1.0
P02930_23_450_6wxi_&_NOBFS_0,SWISS,{'b3035': 3},"{'b3035': {'C': [True, 86.8], 'A': [True, 86.8], 'B': [True, 86.8]}}",['P02930_23_450_6wxi_&_NOBFS_0'],1479.0,86.8,1.0,1.0,1.0
P0A6A3_1_400_3slc_&_NOBFS_0,SWISS,{'b2296': 2},"{'b2296': {'A': [True, 100.0], 'B': [True, 99.5]}}",['P0A6A3_1_400_3slc_&_NOBFS_0'],800.0,99.75,1.0,1.0,1.0
P0A968_1_66_3cam_&_NOBFS_0,SWISS,{'b0880': 2},"{'b0880': {'A': [True, 89.2], 'B': [True, 89.2]}}","['P0A968_1_66_2hax_&_NOBFS_0', 'P0A968_1_66_3cam_&_NOBFS_0', 'P0A968_1_66_3i2z_&_NOBFS_0']",148.0,89.2,1.0,1.0,1.0
P0AE06_38_377_5ng5_&_NOBFS_0,SWISS,{'b0463': 1},"{'b0463': {'D': [True, 85.6]}}",['P0AE06_38_377_5ng5_&_NOBFS_0'],397.0,85.6,1.0,1.0,1.0
P0AE58_3_85_4kt5_&_NOBFS_0,SWISS,{'b0034': 1},"{'b0034': {'C': [True, 63.4]}}",['P0AE58_3_85_4kt5_&_NOBFS_0'],131.0,63.4,1.0,1.0,1.0
P0AF28_4_216_5xt2_&_NOBFS_0,SWISS,{'b1221': 1},"{'b1221': {'A': [True, 98.6]}}","['P0AF28_6_205_4ldz_&_NOBFS_0', 'P0AF28_4_211_3r0j_&_NOBFS_0', 'P0AF28_4_211_5ed4_&_NOBFS_0', 'P0AF28_4_216_5xt2_&_NOBFS_0', 'P0AF28_5_213_5o8y_&_NOBFS_0', 'P0AF28_5_215_5u8k_&_NOBFS_0', 'P0AF28_5_216_1a04_&_NOBFS_0', 'P0AF28_5_216_5xt2_&_NOBFS_0', 'P0AF28_6_214_3c3w_&_NOBFS_0', 'P0AF28_6_215_5u8m_&_NOBFS_0', 'P0AF28_6_216_4gvp_&_NOBFS_0', 'P0AF28_6_216_4if4_&_NOBFS_0', 'P0AF28_6_216_5xt2_&_NOBFS_0', 'P0AF28_7_215_4zmr_&_NOBFS_0']",216.0,98.6,1.0,1.0,1.0
P21645_223_314_7ar9_&_NOBFS_0,SWISS,{'b0179': 1},"{'b0179': {'8': [False, 27.0]}}",['P21645_223_314_7ar9_&_NOBFS_0'],341.0,27.0,0.0,1.0,1.0
P27306_4_465_5u8v_&_NOBFS_0,SWISS,{'b3962': 2},"{'b3962': {'A': [True, 98.9], 'B': [True, 99.1]}}",['P27306_4_465_5u8v_&_NOBFS_0'],932.0,99.0,1.0,1.0,1.0
P31224_1_1034_8ffk_&_NOBFS_0,SWISS,{'b0462': 3},"{'b0462': {'C': [True, 98.6], 'A': [True, 98.5], 'B': [True, 98.6]}}",['P31224_1_1034_8ffk_&_NOBFS_0'],3147.0,98.56666666666666,1.0,1.0,1.0
P33596_9_161_3c1d_&_NOBFS_0,SWISS,{'b2698': 1},"{'b2698': {'A': [True, 92.2]}}","['P33596_14_101_1xma_&_NOBFS_0', 'P33596_96_162_2o71_&_NOBFS_0', 'P33596_9_161_3c1d_&_NOBFS_0']",166.0,92.2,1.0,1.0,1.0
P36645_77_458_5zfr_&_NOBFS_0,SWISS,{'b0107': 6},"{'b0107': {'E': [True, 82.9], 'B': [True, 82.9], 'C': [True, 82.6], 'A': [True, 82.4], 'F': [True, 82.6], 'D': [True, 82.4]}}",['P36645_77_458_5zfr_&_NOBFS_0'],2766.0,82.63333333333333,1.0,1.0,1.0
P36645_7_456_4pht_&_NOBFS_0,SWISS,{'b0107': 1},"{'b0107': {'B': [True, 97.6]}}","['P36645_7_456_3jc8_&_NOBFS_0', 'P36645_7_456_4pht_&_NOBFS_0']",461.0,97.6,1.0,1.0,1.0
P41409_2_311_3g5i_&_NOBFS_0,SWISS,{'b0651': 4},"{'b0651': {'C': [True, 99.7], 'A': [True, 99.7], 'D': [True, 99.7], 'B': [True, 99.7]}}",['P41409_2_311_3g5i_&_NOBFS_0'],1244.0,99.7,1.0,1.0,1.0
P46481_611_652_7r5k_&_NOBFS_0,SWISS,{'b3240': 1},"{'b3240': {'A': [False, 6.4]}}",['P46481_611_652_7r5k_&_NOBFS_0'],655.0,6.4,0.0,1.0,1.0
P46482_42_288_4tko_&_NOBFS_0,SWISS,{'b3241': 1},"{'b3241': {'A': [True, 79.7]}}",['P46482_42_288_4tko_&_NOBFS_0'],310.0,79.7,1.0,1.0,1.0
P75783_61_726_7uw5_&_NOBFS_0,SWISS,{'b0808': 7},"{'b0808': {'E': [True, 89.9], 'B': [True, 89.9], 'C': [True, 89.9], 'G': [True, 89.9], 'A': [True, 89.9], 'F': [True, 89.9], 'D': [True, 89.9]}}",['P75783_61_726_7uw5_&_NOBFS_0'],5187.0,89.89999999999999,1.0,1.0,1.0
P75830_32_371_5nik_&_NOBFS_0,SWISS,{'b0878': 1},"{'b0878': {'F': [True, 91.6]}}",['P75830_32_371_5nik_&_NOBFS_0'],371.0,91.6,1.0,1.0,1.0
P75830_36_365_3ooc_&_NOBFS_0,SWISS,{'b0878': 2},"{'b0878': {'A': [True, 88.9], 'B': [True, 88.9]}}",['P75830_36_365_3ooc_&_NOBFS_0'],742.0,88.9,1.0,1.0,1.0
P75831_1_648_5nik_&_NOBFS_0,SWISS,{'b0879': 1},"{'b0879': {'J': [True, 100.0]}}",['P75831_1_648_5nik_&_NOBFS_0'],648.0,100.0,1.0,1.0,1.0
P77599_30_244_3me0_&_NOBFS_0,SWISS,{'b2336': 1},"{'b2336': {'A': [True, 86.0]}}",['P77599_30_244_3me0_&_NOBFS_0'],250.0,86.0,1.0,1.0,1.0
P0AF28_8_215_4kfc_&_NOBFS_0,SWISS,{'b1221': 2},"{'b1221': {'A': [True, 96.3], 'B': [True, 96.3]}}","['P0AF28_6_212_4ldz_&_NOBFS_0', 'P0AF28_8_215_4kfc_&_NOBFS_0']",432.0,96.3,1.0,1.0,1.0
P0AFM2_23_330_1r9l_&_NOBFS_0,SWISS,{'b2679': 1},"{'b2679': {'A': [True, 93.3]}}",['P0AFM2_23_330_1r9l_&_NOBFS_0'],330.0,93.3,1.0,1.0,1.0
P14175_3_392_7ahe_&_NOBFS_0,SWISS,{'b2677': 1},"{'b2677': {'C': [True, 97.5]}}","['P14175_3_392_7ahe_&_NOBFS_0', 'P14175_48_310_4fwi_&_NOBFS_0', 'P14175_4_370_6cvl_&_NOBFS_0']",400.0,97.5,1.0,1.0,1.0
P14176_62_329_7ahe_&_NOBFS_0,SWISS,{'b2678': 1},"{'b2678': {'A': [True, 75.7]}}",['P14176_62_329_7ahe_&_NOBFS_0'],354.0,75.7,1.0,1.0,1.0
P15770_1_271_1nyt_&_NOBFS_0,SWISS,{'b3281': 4},"{'b3281': {'C': [True, 98.9], 'A': [True, 99.6], 'D': [True, 99.3], 'B': [True, 99.6]}}",['P15770_1_271_1nyt_&_NOBFS_0'],1088.0,99.35,1.0,1.0,1.0
P21517_1_604_7vt9_&_NOBFS_0,SWISS,{'b0403': 2},"{'b0403': {'A': [True, 100.0], 'B': [True, 100.0]}}",['P21517_1_604_7vt9_&_NOBFS_0'],1208.0,100.0,1.0,1.0,1.0
P21645_1_341_3eh0_&_NOBFS_0,SWISS,{'b0179': 3},"{'b0179': {'C': [True, 100.0], 'A': [True, 100.0], 'B': [True, 100.0]}}","['P21645_223_312_3hjj_&_NOBFS_0', 'P21645_1_341_3eh0_&_NOBFS_0']",1023.0,100.0,1.0,1.0,1.0
