,uniprot_id,pdb_id,chain_id,rank,coverage,resolution,start,end,unp_start,unp_end,experimental_method
0,P00561,6mx1,A,1,0.195,1.671,4,163,301,460,X-ray diffraction
1,P00561,6mx1,B,1,0.195,1.671,4,163,301,460,X-ray diffraction
2,P00934,1vb3,A,1,1.0,2.2,1,428,1,428,X-ray diffraction
3,P0A870,3cwn,A,1,1.0,1.4,21,337,1,317,X-ray diffraction
4,P0A870,3cwn,B,1,1.0,1.4,21,337,1,317,X-ray diffraction
5,P0A870,4s2b,A,2,1.0,1.46,21,337,1,317,X-ray diffraction
6,P0A870,4s2b,B,2,1.0,1.46,21,337,1,317,X-ray diffraction
7,P0A870,4rz5,A,3,1.0,1.8,21,337,1,317,X-ray diffraction
8,P0A870,4rz5,B,3,1.0,1.8,21,337,1,317,X-ray diffraction
9,P0A870,4rz6,A,4,1.0,1.802,21,337,1,317,X-ray diffraction
10,P0A870,4rz6,B,4,1.0,1.802,21,337,1,317,X-ray diffraction
11,P0A870,3kof,A,5,1.0,1.9,21,337,1,317,X-ray diffraction
12,P0A870,3kof,B,5,1.0,1.9,21,337,1,317,X-ray diffraction
13,P0A870,1ucw,A,6,1.0,2.2,1,317,1,317,X-ray diffraction
14,P0A870,1ucw,B,6,1.0,2.2,1,317,1,317,X-ray diffraction
15,P0A870,4s2c,A,7,1.0,2.2,21,337,1,317,X-ray diffraction
16,P0A870,4s2c,B,7,1.0,2.2,21,337,1,317,X-ray diffraction
17,P0A870,1onr,A,8,0.997,1.87,1,316,2,317,X-ray diffraction
18,P0A870,1onr,B,8,0.997,1.87,1,316,2,317,X-ray diffraction
19,P0A870,1i2n,A,9,0.997,2.05,1,316,2,317,X-ray diffraction
20,P0A870,1i2n,B,9,0.997,2.05,1,316,2,317,X-ray diffraction
21,P0A870,1i2o,A,10,0.997,2.05,1,316,2,317,X-ray diffraction
22,P0A870,1i2o,B,10,0.997,2.05,1,316,2,317,X-ray diffraction
23,P0A870,1i2p,A,11,0.997,2.05,1,316,2,317,X-ray diffraction
24,P0A870,1i2p,B,11,0.997,2.05,1,316,2,317,X-ray diffraction
25,P0A870,1i2q,A,12,0.997,2.05,1,316,2,317,X-ray diffraction
26,P0A870,1i2q,B,12,0.997,2.05,1,316,2,317,X-ray diffraction
27,P0A870,1i2r,A,13,0.997,2.1,1,316,2,317,X-ray diffraction
28,P0A870,1i2r,B,13,0.997,2.1,1,316,2,317,X-ray diffraction
29,P0AF03,1di6,A,1,1.0,1.45,1,195,1,195,X-ray diffraction
30,P0AF03,1di7,A,2,1.0,1.6,1,195,1,195,X-ray diffraction
31,P0AC98,5zug,A,1,1.0,2.802,3,190,1,188,X-ray diffraction
32,P0AC98,5zug,B,1,1.0,2.802,3,190,1,188,X-ray diffraction
33,P0AC98,5zug,C,1,1.0,2.802,3,190,1,188,X-ray diffraction
34,P0AC98,5zug,D,1,1.0,2.802,3,190,1,188,X-ray diffraction
35,P0AC98,5zug,E,1,1.0,2.802,3,190,1,188,X-ray diffraction
36,P0AC98,5zug,F,1,1.0,2.802,3,190,1,188,X-ray diffraction
37,P13738,7s24,A,1,1.0,2.2,1,388,1,388,X-ray diffraction
