,OPM,Uniprot,TMHMM,final_source,orient_Uniprot,UniprotIds,Uniprot_bulb_orient,Uniprot_bulb_orient_failedQCQA
AF-P77599-F1-model_v2,"['N_vector', 'O_vector']",,,OPM,,,,
P75783_61_726_7uw5,"['N_vector', 'O_vector']","['TM_2', 'TM_1']",,OPM,True,['P75783'],,
b3241_6__AlphaMulti,"['N_vector', 'O_vector']","['TM_2', 'TM_1']","['tmhmm_leaflet_O', 'tmhmm_leaflet_I']",OPM,True,['P46482'],,
