,pdb_id,release_date,resolution,structure_type
0,6MX1,2018-11-07T00:00:00Z,1.671,experimental
1,1VB3,2005-06-21T00:00:00Z,2.2,experimental
2,3CWN,2008-08-05T00:00:00Z,1.4,experimental
3,4S2B,2016-01-20T00:00:00Z,1.46,experimental
4,4RZ5,2015-10-07T00:00:00Z,1.8,experimental
5,4RZ6,2015-10-07T00:00:00Z,1.802,experimental
6,3KOF,2010-02-23T00:00:00Z,1.9,experimental
7,1UCW,1997-07-07T00:00:00Z,2.2,experimental
8,4S2C,2016-01-20T00:00:00Z,2.2,experimental
9,1ONR,1997-03-12T00:00:00Z,1.87,experimental
10,1I2N,2001-05-09T00:00:00Z,2.05,experimental
11,1I2O,2001-05-09T00:00:00Z,2.05,experimental
12,1I2P,2001-05-09T00:00:00Z,2.05,experimental
13,1I2Q,2001-05-09T00:00:00Z,2.05,experimental
14,1I2R,2001-05-09T00:00:00Z,2.1,experimental
15,1DI6,2000-01-19T00:00:00Z,1.45,experimental
16,1DI7,2000-01-19T00:00:00Z,1.6,experimental
17,5ZUG,2018-11-21T00:00:00Z,2.802,experimental
18,7S24,2022-08-10T00:00:00Z,2.2,experimental
19,1ZCD,2005-07-05T00:00:00Z,3.45,experimental
20,4ATV,2013-07-10T00:00:00Z,3.5,experimental
21,4AU5,2013-07-10T00:00:00Z,3.696,experimental
22,3FI1,2009-01-13T00:00:00Z,7.0,experimental
23,3SZU,2011-11-30T00:00:00Z,1.4,experimental
24,3URK,2012-09-05T00:00:00Z,1.5,experimental
25,3SZL,2011-11-30T00:00:00Z,1.6,experimental
26,3SZO,2011-11-30T00:00:00Z,1.6,experimental
27,3UV3,2012-09-05T00:00:00Z,1.6,experimental
28,3UV7,2012-09-05T00:00:00Z,1.6,experimental
29,3ZGL,2013-01-09T00:00:00Z,1.68,experimental
30,3KE8,2010-01-12T00:00:00Z,1.7,experimental
31,3KEF,2010-01-12T00:00:00Z,1.7,experimental
32,3UTD,2012-09-05T00:00:00Z,1.7,experimental
33,3UV6,2012-09-05T00:00:00Z,1.7,experimental
34,3F7T,2009-07-07T00:00:00Z,1.8,experimental
35,3KEL,2010-01-12T00:00:00Z,1.8,experimental
36,3UWM,2012-09-05T00:00:00Z,1.8,experimental
37,3KE9,2010-01-12T00:00:00Z,1.9,experimental
38,3T0F,2011-11-30T00:00:00Z,1.9,experimental
39,3UTC,2012-09-05T00:00:00Z,1.9,experimental
40,3ZGN,2013-01-09T00:00:00Z,1.95,experimental
41,3KEM,2010-01-12T00:00:00Z,2.0,experimental
42,3T0G,2011-11-30T00:00:00Z,2.1,experimental
43,4H4D,2013-01-23T00:00:00Z,1.35,experimental
44,4H4E,2013-01-23T00:00:00Z,1.7,experimental
45,4H4C,2013-01-23T00:00:00Z,1.8,experimental
46,4EB3,2013-02-06T00:00:00Z,1.9,experimental
47,1DIH,1995-09-15T00:00:00Z,2.2,experimental
48,1DRU,1997-01-27T00:00:00Z,2.2,experimental
