,alphafold1_model_score,alphafold1_ipTM,alphafold1_pTM,plddt,pdb_file,score_file,dfparent_index,sequence_length,QCQA_verdict,PDB,SWISS,Comments
CPLX0-7666,0.29400000000000004,0.25,0.47,67.65538167938931,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/CPLX0-7666.result/CPLX0-7666_unrelaxed_rank_1_model_5.pdb,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/CPLX0-7666.result/CPLX0-7666_unrelaxed_rank_1_model_5_scores.json,CPLX0-7666,262,,,,
ABC-26-CPLX,0.724,0.72,0.74,81.67059847660501,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/ABC-26-CPLX.result/ABC-26-CPLX_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/ABC-26-CPLX.result/ABC-26-CPLX_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,ABC-26-CPLX,1838,,,,
b3241_6_,0.8420000000000001,0.84,0.85,85.4287688172043,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/b3241_6_.result/b3241_6__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/b3241_6_.result/b3241_6__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b3241_6_,1860,Auto,,,
b3240_3_,0.6940000000000001,0.68,0.75,86.91482951653944,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/b3240_3_.result/b3240_3__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/QSPACE_ecoli/structures/all_alphafoldMultimer/b3240_3_.result/b3240_3__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b3240_3_,1965,,,,
