,final_match_id,final_qual,final_match,num_pdbs,PDB,ALPHAFOLD,ALPHAFOLD_MULTIMER,SWISS,ITASSER
Unmodelled_MONOMER_b0253,Unmodelled_MONOMER_b0253_&_full_match_3,89.8556794425087,{'AF-P75678-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0252,Unmodelled_MONOMER_b0252_&_full_match_1,88.71714285714285,{'AF-P77206-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0251,Unmodelled_MONOMER_b0251_&_full_match_0,80.24823129251702,{'AF-P77365-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
RpoS_mono,RpoS_mono_&_full_match_0,83.9,{'P13445_53_329_6kj6_&_NOBFS_0': 1},1.0,,,,1.0,
TDK-MONOMER,TDK-MONOMER_&_full_match_0,93.60814634146341,{'AF-P23331-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0256,Unmodelled_MONOMER_b0256_&_full_match_0,87.79754569190601,{'AF-P0CF88-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0254,Unmodelled_MONOMER_b0254_&_full_match_0,90.47164983164984,{'AF-Q57083-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0259,Unmodelled_MONOMER_b0259_&_full_match_1,92.60205521472393,{'AF-P0CE49-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0258,Unmodelled_MONOMER_b0258_&_full_match_1,86.17690288713911,{'AF-Q47688-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
ABC-35-CPLX,ABC-35-CPLX_&_subset_match_0,85.75285150078989,"{'AF-P0ABM5-F1-model_v2_&_NOBFS_0': 1, 'ABC-35-CPLX_AlphaMulti': 1}",2.0,,0.054502369668246446,0.9454976303317536,,
YHIP-MONOMER,YHIP-MONOMER_&_full_match_1,96.7,{'P36837_10_482_6gs1_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-7654,CPLX0-7654_&_full_match_0,90.4,{'P0AER0_6_259_1ldf_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-7655,CPLX0-7655_&_full_match_0,94.40000000000002,{'1af6-assembly1.cif_&_MATCH_0': 1},1.0,1.0,,,,
CPLX0-7652,CPLX0-7652_&_full_match_1,99.3,{'P32170_3_418_1de6_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-7653,CPLX0-7653_&_full_match_0,100.0,{'1rc2-assembly3.cif_&_MATCH_1': 1},1.0,1.0,,,,
FADA-CPLX,FADA-CPLX_&_full_match_0,100.0,{'P21151_1_387_3goa_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b2918,Unmodelled_DIMER_b2918_&_full_match_0,98.5,{'P27254_2_327_2p67_&_NOBFS_0': 1},1.0,,,,1.0,
GLYCOGEN-BRANCH-MONOMER,GLYCOGEN-BRANCH-MONOMER_&_full_match_0,98.8,{'P07762_5_723_5gqx_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0499,Unmodelled_MONOMER_b0499_&_full_match_3,92.12224576271187,{'AF-P77759-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0498,Unmodelled_MONOMER_b0498_&_full_match_1,85.11737704918032,{'AF-P33668-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-7658,CPLX0-7658_&_full_match_0,93.05,{'2uvk-assembly1.cif_&_NOBFS_0': 1},1.0,1.0,,,,
CPLX0-7659,CPLX0-7659_&_full_match_0,99.7,{'P25539_2_367_2o7p_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4622,Unmodelled_MONOMER_b4622_&_full_match_0,79.54065934065935,{'AF-A5A630-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4623,Unmodelled_MONOMER_b4623_&_full_match_0,95.20306818181817,{'AF-P39212-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4620,Unmodelled_MONOMER_b4620_&_full_match_1,56.83565217391303,{'AF-A5A628-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4621,Unmodelled_MONOMER_b4621_&_full_match_1,81.0868656716418,{'AF-P58036-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
AROL-MONOMER,AROL-MONOMER_&_full_match_2,95.4,{'P0A6E1_3_168_4x8o_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_TRIMER_b2355,Unmodelled_TRIMER_b2355_&_full_match_0,72.1,{'P76508_49_172_4mtm_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b1180,Unmodelled_DIMER_b1180_&_full_match_0,99.5,{'P76004_2_219_1nr9_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b4251,Unmodelled_DIMER_b4251_&_full_match_0,92.4,{'P39334_9_191_6nsn_&_NOBFS_0': 1},1.0,,,,1.0,
CITRATE-SI-SYNTHASE,CITRATE-SI-SYNTHASE_&_full_match_1,99.8,{'P0ABH7_2_427_4g6b_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0390,Unmodelled_MONOMER_b0390_&_full_match_0,93.16071111111113,{'AF-P0AE28-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
ASL-TETRAMER,ASL-TETRAMER_&_full_match_1,99.8,{'P0AB89_2_456_3gzh_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b1454,Unmodelled_DIMER_b1454_&_full_match_0,99.0,{'P76117_2_204_2nto_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0076,Unmodelled_MONOMER_b0076_&_full_match_2,95.2,{'P10151_14_312_6g1b_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0075,Unmodelled_MONOMER_b0075_&_full_match_0,81.20392857142858,{'AF-P0AD79-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3674,Unmodelled_MONOMER_b3674_&_full_match_2,85.82618181818181,{'AF-P31443-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
