,stype,gene_stoichiometry,pdb_quality,identical_structures,AA_length,total_quality,percent_true,quality_rank,percent_true_rank
AF-P0AE58-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0034': 1},"{'b0034': {'A': [True, 75.95824427480915]}}",['AF-P0AE58-F1-model_v2_&_NOBFS_0'],131.0,75.95824427480915,1.0,1.0,1.0
AF-P36645-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0107': 1},"{'b0107': {'A': [True, 89.96570498915402]}}",['AF-P36645-F1-model_v2_&_NOBFS_0'],461.0,89.96570498915402,1.0,1.0,1.0
AF-P21645-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0179': 1},"{'b0179': {'A': [True, 97.06545454545454]}}",['AF-P21645-F1-model_v2_&_NOBFS_0'],341.0,97.06545454545454,1.0,1.0,1.0
AF-P0CF88-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0256': 1},"{'b0256': {'A': [True, 87.79754569190601]}}",['AF-P0CF88-F1-model_v2_&_NOBFS_0'],383.0,87.79754569190601,1.0,1.0,1.0
AF-P21517-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0403': 1},"{'b0403': {'A': [True, 95.61918874172186]}}",['AF-P21517-F1-model_v2_&_NOBFS_0'],604.0,95.61918874172186,1.0,1.0,1.0
AF-P31224-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0462': 1},"{'b0462': {'A': [True, 89.39134413727359]}}",['AF-P31224-F1-model_v2_&_NOBFS_0'],1049.0,89.39134413727359,1.0,1.0,1.0
AF-P0AE06-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0463': 1},"{'b0463': {'A': [True, 84.93576826196474]}}",['AF-P0AE06-F1-model_v2_&_NOBFS_0'],397.0,84.93576826196474,1.0,1.0,1.0
AF-P41409-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0651': 1},"{'b0651': {'A': [True, 97.83157556270096]}}",['AF-P41409-F1-model_v2_&_NOBFS_0'],311.0,97.83157556270096,1.0,1.0,1.0
AF-P75783-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0808': 1},"{'b0808': {'A': [True, 81.64686909581647]}}",['AF-P75783-F1-model_v2_&_NOBFS_0'],741.0,81.64686909581647,1.0,1.0,1.0
AF-P75830-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0878': 1},"{'b0878': {'A': [True, 90.54900269541778]}}",['AF-P75830-F1-model_v2_&_NOBFS_0'],371.0,90.54900269541778,1.0,1.0,1.0
AF-P75831-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0879': 1},"{'b0879': {'A': [True, 86.54782407407407]}}",['AF-P75831-F1-model_v2_&_NOBFS_0'],648.0,86.54782407407407,1.0,1.0,1.0
AF-P0A968-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b0880': 1},"{'b0880': {'A': [True, 86.04945945945947]}}",['AF-P0A968-F1-model_v2_&_NOBFS_0'],74.0,86.04945945945947,1.0,1.0,1.0
AF-P0AF28-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b1221': 1},"{'b1221': {'A': [True, 89.99828703703703]}}",['AF-P0AF28-F1-model_v2_&_NOBFS_0'],216.0,89.99828703703703,1.0,1.0,1.0
AF-P0A6A3-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b2296': 1},"{'b2296': {'A': [True, 96.805125]}}",['AF-P0A6A3-F1-model_v2_&_NOBFS_0'],400.0,96.805125,1.0,1.0,1.0
AF-P77599-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b2336': 1},"{'b2336': {'A': [True, 92.11204000000001]}}",['AF-P77599-F1-model_v2_&_NOBFS_0'],250.0,92.11204000000001,1.0,1.0,1.0
AF-P14175-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b2677': 1},"{'b2677': {'A': [True, 90.24305]}}",['AF-P14175-F1-model_v2_&_NOBFS_0'],400.0,90.24305,1.0,1.0,1.0
AF-P14176-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b2678': 1},"{'b2678': {'A': [True, 83.31197740112995]}}",['AF-P14176-F1-model_v2_&_NOBFS_0'],354.0,83.31197740112995,1.0,1.0,1.0
AF-P0AFM2-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b2679': 1},"{'b2679': {'A': [True, 94.72324242424243]}}",['AF-P0AFM2-F1-model_v2_&_NOBFS_0'],330.0,94.72324242424243,1.0,1.0,1.0
AF-P33596-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b2698': 1},"{'b2698': {'A': [True, 92.59710843373493]}}",['AF-P33596-F1-model_v2_&_NOBFS_0'],166.0,92.59710843373493,1.0,1.0,1.0
AF-P02930-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b3035': 1},"{'b3035': {'A': [True, 89.0432251521298]}}",['AF-P02930-F1-model_v2_&_NOBFS_0'],493.0,89.0432251521298,1.0,1.0,1.0
AF-P46481-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b3240': 1},"{'b3240': {'A': [True, 87.11876335877862]}}",['AF-P46481-F1-model_v2_&_NOBFS_0'],655.0,87.11876335877862,1.0,1.0,1.0
AF-P46482-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b3241': 1},"{'b3241': {'A': [True, 86.50267741935484]}}",['AF-P46482-F1-model_v2_&_NOBFS_0'],310.0,86.50267741935484,1.0,1.0,1.0
AF-P15770-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b3281': 1},"{'b3281': {'A': [True, 96.27830882352941]}}",['AF-P15770-F1-model_v2_&_NOBFS_0'],272.0,96.27830882352941,1.0,1.0,1.0
AF-P27306-F1-model_v2_&_NOBFS_0,ALPHAFOLD,{'b3962': 1},"{'b3962': {'A': [True, 94.87959227467812]}}",['AF-P27306-F1-model_v2_&_NOBFS_0'],466.0,94.87959227467812,1.0,1.0,1.0
